Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
264	-134.0	134	40868	264	-134.0	134	40868
265	-137.0	137	41005	265	-137.0	137	41005
266	-131.0	131	41136	266	-131.0	131	41136
267	-138.0	138	41274	267	-138.0	138	41274
268	-107.0	107	41381	268	-107.0	107	41381
269	-159.0	159	41540	269	-159.0	159	41540
270	-139.0	139	41679	270	-139.0	139	41679
271	-107.0	107	41786	271	-107.0	107	41786
272	-107.0	107	41893	272	-107.0	107	41893
273	-140.0	140	42033	273	-140.0	140	42033
274	-108.0	108	42141	274	-108.0	108	42141
275	-138.0	138	42279	275	-138.0	138	42279
276	-109.0	109	42388	276	-109.0	109	42388
277	-108.0	108	42496	277	-108.0	108	42496
278	-154.0	154	42650	278	-154.0	154	42650
279	-108.0	108	42758	279	-108.0	108	42758
280	-137.0	137	42895	280	-137.0	137	42895
281	-108.0	108	43003	281	-108.0	108	43003
282	-109.0	109	43112	282	-109.0	109	43112
283	-138.0	138	43250	283	-138.0	138	43250
284	-112.0	112	43362	284	-112.0	112	43362
285	-136.0	136	43498	285	-136.0	136	43498
286	-107.0	107	43605	286	-107.0	107	43605
287	-107.0	107	43712	287	-107.0	107	43712
288	-106.0	106	43818	288	-106.0	106	43818
289	-100.0	100	43918	289	-100.0	100	43918
290	-139.0	139	44057	290	-139.0	139	44057
291	-142.0	142	44199	291	-142.0	142	44199
292	-139.0	139	44338	292	-139.0	139	44338
293	-149.0	149	44487	293	-149.0	149	44487
294	-137.0	137	44624	294	-137.0	137	44624
295	-106.0	106	44730	295	-106.0	106	44730
296	-107.0	107	44837	296	-107.0	107	44837
297	-106.0	106	44943	297	-106.0	106	44943
298	-106.0	106	45049	298	-106.0	106	45049
299	-106.0	106	45155	299	-106.0	106	45155
