Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531	31	-13	13	531
32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548	32	-17	17	548
33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563	33	-15	15	563
34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581	34	-18	18	581
35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603	35	-121	22	603
36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616	36	-13	13	616
37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631	37	-15	15	631
38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644	38	-13	13	644
39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657	39	-13	13	657
40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670	40	-13	13	670
41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691	41	-120	21	691
42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706	42	-15	15	706
