Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618	158	-13	13	2618
159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632	159	-14	14	2632
160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649	160	-17	17	2649
161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662	161	-13	13	2662
162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675	162	-13	13	2675
163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690	163	-15	15	2690
164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707	164	-17	17	2707
165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728	165	-21	21	2728
166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754	166	-125	26	2754
167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770	167	-16	16	2770
168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789	168	-118	19	2789
169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804	169	-15	15	2804
170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820	170	-16	16	2820
171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833	171	-13	13	2833
172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851	172	-18	18	2851
173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864	173	-13	13	2864
174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883	174	-118	19	2883
175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909	175	-125	26	2909
176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924	176	-15	15	2924
177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950	177	-125	26	2950
178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963	178	-13	13	2963
179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990	179	-225	27	2990
180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010	180	-119	20	3010
181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026	181	-16	16	3026
182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043	182	-17	17	3043
183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058	183	-15	15	3058
184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077	184	-217	19	3077
185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107	185	-129	30	3107
186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122	186	-15	15	3122
187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137	187	-15	15	3137
188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152	188	-15	15	3152
189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165	189	-13	13	3165
190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181	190	-16	16	3181
191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196	191	-15	15	3196
192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210	192	-14	14	3210
193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225	193	-15	15	3225
194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238	194	-13	13	3238
195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267	195	-128	29	3267
196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282	196	-15	15	3282
197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295	197	-13	13	3295
198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310	198	-15	15	3310
199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333	199	-122	23	3333
