Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
61	-174	174	3529	61	-174	174	3529	61	-174	174	3529	61	-174	174	3529	61	-174	174	3529	61	-174	174	3529	61	-174	174	3529
62	-189	90	3619	62	-189	90	3619	62	-189	90	3619	62	-189	90	3619	62	-189	90	3619	62	-189	90	3619	62	-189	90	3619
63	-38	38	3657	63	-38	38	3657	63	-38	38	3657	63	-38	38	3657	63	-38	38	3657	63	-38	38	3657	63	-38	38	3657
64	-29	29	3686	64	-29	29	3686	64	-29	29	3686	64	-29	29	3686	64	-29	29	3686	64	-29	29	3686	64	-29	29	3686
65	-53	53	3739	65	-53	53	3739	65	-53	53	3739	65	-53	53	3739	65	-53	53	3739	65	-53	53	3739	65	-53	53	3739
66	-27	27	3766	66	-27	27	3766	66	-27	27	3766	66	-27	27	3766	66	-27	27	3766	66	-27	27	3766	66	-27	27	3766
67	-100	100	3866	67	-100	100	3866	67	-100	100	3866	67	-100	100	3866	67	-100	100	3866	67	-100	100	3866	67	-100	100	3866
68	-21	21	3887	68	-21	21	3887	68	-21	21	3887	68	-21	21	3887	68	-21	21	3887	68	-21	21	3887	68	-21	21	3887
69	-33	33	3920	69	-33	33	3920	69	-33	33	3920	69	-33	33	3920	69	-33	33	3920	69	-33	33	3920	69	-33	33	3920
70	-233	35	3955	70	-233	35	3955	70	-233	35	3955	70	-233	35	3955	70	-233	35	3955	70	-233	35	3955	70	-233	35	3955
71	-44	44	3999	71	-44	44	3999	71	-44	44	3999	71	-44	44	3999	71	-44	44	3999	71	-44	44	3999	71	-44	44	3999
72	-133	34	4033	72	-133	34	4033	72	-133	34	4033	72	-133	34	4033	72	-133	34	4033	72	-133	34	4033	72	-133	34	4033
73	-235	136	4169	73	-235	136	4169	73	-235	136	4169	73	-235	136	4169	73	-235	136	4169	73	-235	136	4169	73	-235	136	4169
74	-27	27	4196	74	-27	27	4196	74	-27	27	4196	74	-27	27	4196	74	-27	27	4196	74	-27	27	4196	74	-27	27	4196
75	-19	19	4215	75	-19	19	4215	75	-19	19	4215	75	-19	19	4215	75	-19	19	4215	75	-19	19	4215	75	-19	19	4215
76	-26	26	4241	76	-26	26	4241	76	-26	26	4241	76	-26	26	4241	76	-26	26	4241	76	-26	26	4241	76	-26	26	4241
77	-19	19	4260	77	-19	19	4260	77	-19	19	4260	77	-19	19	4260	77	-19	19	4260	77	-19	19	4260	77	-19	19	4260
78	-21	21	4281	78	-21	21	4281	78	-21	21	4281	78	-21	21	4281	78	-21	21	4281	78	-21	21	4281	78	-21	21	4281
79	-101	101	4382	79	-101	101	4382	79	-101	101	4382	79	-101	101	4382	79	-101	101	4382	79	-101	101	4382	79	-101	101	4382
80	-52	52	4434	80	-52	52	4434	80	-52	52	4434	80	-52	52	4434	80	-52	52	4434	80	-52	52	4434	80	-52	52	4434
81	-65	65	4499	81	-65	65	4499	81	-65	65	4499	81	-65	65	4499	81	-65	65	4499	81	-65	65	4499	81	-65	65	4499
82	-153	54	4553	82	-153	54	4553	82	-153	54	4553	82	-153	54	4553	82	-153	54	4553	82	-153	54	4553	82	-153	54	4553
83	-288	288	4841	83	-288	288	4841	83	-288	288	4841	83	-288	288	4841	83	-288	288	4841	83	-288	288	4841	83	-288	288	4841
84	-37	37	4878	84	-37	37	4878	84	-37	37	4878	84	-37	37	4878	84	-37	37	4878	84	-37	37	4878	84	-37	37	4878
85	-128	29	4907	85	-128	29	4907	85	-128	29	4907	85	-128	29	4907	85	-128	29	4907	85	-128	29	4907	85	-128	29	4907
86	-54	54	4961	86	-54	54	4961	86	-54	54	4961	86	-54	54	4961	86	-54	54	4961	86	-54	54	4961	86	-54	54	4961
87	-74	74	5035	87	-74	74	5035	87	-74	74	5035	87	-74	74	5035	87	-74	74	5035	87	-74	74	5035	87	-74	74	5035
88	-125	26	5061	88	-125	26	5061	88	-125	26	5061	88	-125	26	5061	88	-125	26	5061	88	-125	26	5061	88	-125	26	5061
89	-41	41	5102	89	-41	41	5102	89	-41	41	5102	89	-41	41	5102	89	-41	41	5102	89	-41	41	5102	89	-41	41	5102
90	-190	91	5193	90	-190	91	5193	90	-190	91	5193	90	-190	91	5193	90	-190	91	5193	90	-190	91	5193	90	-190	91	5193
91	-147	48	5241	91	-147	48	5241	91	-147	48	5241	91	-147	48	5241	91	-147	48	5241	91	-147	48	5241	91	-147	48	5241
92	-24	24	5265	92	-24	24	5265	92	-24	24	5265	92	-24	24	5265	92	-24	24	5265	92	-24	24	5265	92	-24	24	5265
93	-265	166	5431	93	-265	166	5431	93	-265	166	5431	93	-265	166	5431	93	-265	166	5431	93	-265	166	5431	93	-265	166	5431
94	-67	67	5498	94	-67	67	5498	94	-67	67	5498	94	-67	67	5498	94	-67	67	5498	94	-67	67	5498	94	-67	67	5498
95	-21	21	5519	95	-21	21	5519	95	-21	21	5519	95	-21	21	5519	95	-21	21	5519	95	-21	21	5519	95	-21	21	5519
96	-29	29	5548	96	-29	29	5548	96	-29	29	5548	96	-29	29	5548	96	-29	29	5548	96	-29	29	5548	96	-29	29	5548
97	-50	50	5598	97	-50	50	5598	97	-50	50	5598	97	-50	50	5598	97	-50	50	5598	97	-50	50	5598	97	-50	50	5598
98	-33	33	5631	98	-33	33	5631	98	-33	33	5631	98	-33	33	5631	98	-33	33	5631	98	-33	33	5631	98	-33	33	5631
99	-21	21	5652	99	-21	21	5652	99	-21	21	5652	99	-21	21	5652	99	-21	21	5652	99	-21	21	5652	99	-21	21	5652
100	-19	19	5671	100	-19	19	5671	100	-19	19	5671	100	-19	19	5671	100	-19	19	5671	100	-19	19	5671	100	-19	19	5671
101	-47	47	5718	101	-47	47	5718	101	-47	47	5718	101	-47	47	5718	101	-47	47	5718	101	-47	47	5718	101	-47	47	5718
102	-28	28	5746	102	-28	28	5746	102	-28	28	5746	102	-28	28	5746	102	-28	28	5746	102	-28	28	5746	102	-28	28	5746
103	-28	28	5774	103	-28	28	5774	103	-28	28	5774	103	-28	28	5774	103	-28	28	5774	103	-28	28	5774	103	-28	28	5774
104	-42	42	5816	104	-42	42	5816	104	-42	42	5816	104	-42	42	5816	104	-42	42	5816	104	-42	42	5816	104	-42	42	5816
105	-46	46	5862	105	-46	46	5862	105	-46	46	5862	105	-46	46	5862	105	-46	46	5862	105	-46	46	5862	105	-46	46	5862
106	-93	93	5955	106	-93	93	5955	106	-93	93	5955	106	-93	93	5955	106	-93	93	5955	106	-93	93	5955	106	-93	93	5955
107	-49	49	6004	107	-49	49	6004	107	-49	49	6004	107	-49	49	6004	107	-49	49	6004	107	-49	49	6004	107	-49	49	6004
108	-182	83	6087	108	-182	83	6087	108	-182	83	6087	108	-182	83	6087	108	-182	83	6087	108	-182	83	6087	108	-182	83	6087
109	-86	86	6173	109	-86	86	6173	109	-86	86	6173	109	-86	86	6173	109	-86	86	6173	109	-86	86	6173	109	-86	86	6173
110	-70	70	6243	110	-70	70	6243	110	-70	70	6243	110	-70	70	6243	110	-70	70	6243	110	-70	70	6243	110	-70	70	6243
111	-130	31	6274	111	-130	31	6274	111	-130	31	6274	111	-130	31	6274	111	-130	31	6274	111	-130	31	6274	111	-130	31	6274
112	-31	31	6305	112	-31	31	6305	112	-31	31	6305	112	-31	31	6305	112	-31	31	6305	112	-31	31	6305	112	-31	31	6305
113	-29	29	6334	113	-29	29	6334	113	-29	29	6334	113	-29	29	6334	113	-29	29	6334	113	-29	29	6334	113	-29	29	6334
114	-41	41	6375	114	-41	41	6375	114	-41	41	6375	114	-41	41	6375	114	-41	41	6375	114	-41	41	6375	114	-41	41	6375
115	-31	31	6406	115	-31	31	6406	115	-31	31	6406	115	-31	31	6406	115	-31	31	6406	115	-31	31	6406	115	-31	31	6406
116	-33	33	6439	116	-33	33	6439	116	-33	33	6439	116	-33	33	6439	116	-33	33	6439	116	-33	33	6439	116	-33	33	6439
117	-30	30	6469	117	-30	30	6469	117	-30	30	6469	117	-30	30	6469	117	-30	30	6469	117	-30	30	6469	117	-30	30	6469
118	-19	19	6488	118	-19	19	6488	118	-19	19	6488	118	-19	19	6488	118	-19	19	6488	118	-19	19	6488	118	-19	19	6488
119	-24	24	6512	119	-24	24	6512	119	-24	24	6512	119	-24	24	6512	119	-24	24	6512	119	-24	24	6512	119	-24	24	6512
