Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
166	-19	19	5477	166	-19	19	5477	166	-19	19	5477	166	-19	19	5477	166	-19	19	5477	166	-19	19	5477
167	-20	20	5497	167	-20	20	5497	167	-20	20	5497	167	-20	20	5497	167	-20	20	5497	167	-20	20	5497
168	-22	22	5519	168	-22	22	5519	168	-22	22	5519	168	-22	22	5519	168	-22	22	5519	168	-22	22	5519
169	-19	19	5538	169	-19	19	5538	169	-19	19	5538	169	-19	19	5538	169	-19	19	5538	169	-19	19	5538
170	-21	21	5559	170	-21	21	5559	170	-21	21	5559	170	-21	21	5559	170	-21	21	5559	170	-21	21	5559
171	-20	20	5579	171	-20	20	5579	171	-20	20	5579	171	-20	20	5579	171	-20	20	5579	171	-20	20	5579
172	-21	21	5600	172	-21	21	5600	172	-21	21	5600	172	-21	21	5600	172	-21	21	5600	172	-21	21	5600
173	-27	27	5627	173	-27	27	5627	173	-27	27	5627	173	-27	27	5627	173	-27	27	5627	173	-27	27	5627
174	-25	25	5652	174	-25	25	5652	174	-25	25	5652	174	-25	25	5652	174	-25	25	5652	174	-25	25	5652
175	-23	23	5675	175	-23	23	5675	175	-23	23	5675	175	-23	23	5675	175	-23	23	5675	175	-23	23	5675
176	-134	35	5710	176	-134	35	5710	176	-134	35	5710	176	-134	35	5710	176	-134	35	5710	176	-134	35	5710
177	-61	61	5771	177	-61	61	5771	177	-61	61	5771	177	-61	61	5771	177	-61	61	5771	177	-61	61	5771
178	-38	38	5809	178	-38	38	5809	178	-38	38	5809	178	-38	38	5809	178	-38	38	5809	178	-38	38	5809
179	-145	46	5855	179	-145	46	5855	179	-145	46	5855	179	-145	46	5855	179	-145	46	5855	179	-145	46	5855
180	-25	25	5880	180	-25	25	5880	180	-25	25	5880	180	-25	25	5880	180	-25	25	5880	180	-25	25	5880
181	-32	32	5912	181	-32	32	5912	181	-32	32	5912	181	-32	32	5912	181	-32	32	5912	181	-32	32	5912
182	-46	46	5958	182	-46	46	5958	182	-46	46	5958	182	-46	46	5958	182	-46	46	5958	182	-46	46	5958
183	-17	17	5975	183	-17	17	5975	183	-17	17	5975	183	-17	17	5975	183	-17	17	5975	183	-17	17	5975
184	-80	80	6055	184	-80	80	6055	184	-80	80	6055	184	-80	80	6055	184	-80	80	6055	184	-80	80	6055
185	-33	33	6088	185	-33	33	6088	185	-33	33	6088	185	-33	33	6088	185	-33	33	6088	185	-33	33	6088
186	-25	25	6113	186	-25	25	6113	186	-25	25	6113	186	-25	25	6113	186	-25	25	6113	186	-25	25	6113
187	-28	28	6141	187	-28	28	6141	187	-28	28	6141	187	-28	28	6141	187	-28	28	6141	187	-28	28	6141
188	-17	17	6158	188	-17	17	6158	188	-17	17	6158	188	-17	17	6158	188	-17	17	6158	188	-17	17	6158
