Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
85	-20	20	1730	85	-20	20	1730	85	-20	20	1730	85	-20	20	1730	85	-20	20	1730	85	-20	20	1730
86	-22	22	1752	86	-22	22	1752	86	-22	22	1752	86	-22	22	1752	86	-22	22	1752	86	-22	22	1752
87	-22	22	1774	87	-22	22	1774	87	-22	22	1774	87	-22	22	1774	87	-22	22	1774	87	-22	22	1774
88	-22	22	1796	88	-22	22	1796	88	-22	22	1796	88	-22	22	1796	88	-22	22	1796	88	-22	22	1796
89	-18	18	1814	89	-18	18	1814	89	-18	18	1814	89	-18	18	1814	89	-18	18	1814	89	-18	18	1814
90	-19	19	1833	90	-19	19	1833	90	-19	19	1833	90	-19	19	1833	90	-19	19	1833	90	-19	19	1833
91	-19	19	1852	91	-19	19	1852	91	-19	19	1852	91	-19	19	1852	91	-19	19	1852	91	-19	19	1852
92	-18	18	1870	92	-18	18	1870	92	-18	18	1870	92	-18	18	1870	92	-18	18	1870	92	-18	18	1870
93	-17	17	1887	93	-17	17	1887	93	-17	17	1887	93	-17	17	1887	93	-17	17	1887	93	-17	17	1887
94	-17	17	1904	94	-17	17	1904	94	-17	17	1904	94	-17	17	1904	94	-17	17	1904	94	-17	17	1904
95	-19	19	1923	95	-19	19	1923	95	-19	19	1923	95	-19	19	1923	95	-19	19	1923	95	-19	19	1923
96	-17	17	1940	96	-17	17	1940	96	-17	17	1940	96	-17	17	1940	96	-17	17	1940	96	-17	17	1940
97	-20	20	1960	97	-20	20	1960	97	-20	20	1960	97	-20	20	1960	97	-20	20	1960	97	-20	20	1960
98	-28	28	1988	98	-28	28	1988	98	-28	28	1988	98	-28	28	1988	98	-28	28	1988	98	-28	28	1988
99	-17	17	2005	99	-17	17	2005	99	-17	17	2005	99	-17	17	2005	99	-17	17	2005	99	-17	17	2005
100	-21	21	2026	100	-21	21	2026	100	-21	21	2026	100	-21	21	2026	100	-21	21	2026	100	-21	21	2026
101	-19	19	2045	101	-19	19	2045	101	-19	19	2045	101	-19	19	2045	101	-19	19	2045	101	-19	19	2045
102	-17	17	2062	102	-17	17	2062	102	-17	17	2062	102	-17	17	2062	102	-17	17	2062	102	-17	17	2062
103	-17	17	2079	103	-17	17	2079	103	-17	17	2079	103	-17	17	2079	103	-17	17	2079	103	-17	17	2079
104	-122	23	2102	104	-122	23	2102	104	-122	23	2102	104	-122	23	2102	104	-122	23	2102	104	-122	23	2102
105	-17	17	2119	105	-17	17	2119	105	-17	17	2119	105	-17	17	2119	105	-17	17	2119	105	-17	17	2119
106	-17	17	2136	106	-17	17	2136	106	-17	17	2136	106	-17	17	2136	106	-17	17	2136	106	-17	17	2136
107	-17	17	2153	107	-17	17	2153	107	-17	17	2153	107	-17	17	2153	107	-17	17	2153	107	-17	17	2153
108	-36	36	2189	108	-36	36	2189	108	-36	36	2189	108	-36	36	2189	108	-36	36	2189	108	-36	36	2189
109	-20	20	2209	109	-20	20	2209	109	-20	20	2209	109	-20	20	2209	109	-20	20	2209	109	-20	20	2209
110	-17	17	2226	110	-17	17	2226	110	-17	17	2226	110	-17	17	2226	110	-17	17	2226	110	-17	17	2226
111	-21	21	2247	111	-21	21	2247	111	-21	21	2247	111	-21	21	2247	111	-21	21	2247	111	-21	21	2247
112	-18	18	2265	112	-18	18	2265	112	-18	18	2265	112	-18	18	2265	112	-18	18	2265	112	-18	18	2265
113	-20	20	2285	113	-20	20	2285	113	-20	20	2285	113	-20	20	2285	113	-20	20	2285	113	-20	20	2285
114	-17	17	2302	114	-17	17	2302	114	-17	17	2302	114	-17	17	2302	114	-17	17	2302	114	-17	17	2302
115	-19	19	2321	115	-19	19	2321	115	-19	19	2321	115	-19	19	2321	115	-19	19	2321	115	-19	19	2321
116	-17	17	2338	116	-17	17	2338	116	-17	17	2338	116	-17	17	2338	116	-17	17	2338	116	-17	17	2338
117	-17	17	2355	117	-17	17	2355	117	-17	17	2355	117	-17	17	2355	117	-17	17	2355	117	-17	17	2355
118	-17	17	2372	118	-17	17	2372	118	-17	17	2372	118	-17	17	2372	118	-17	17	2372	118	-17	17	2372
119	-120	21	2393	119	-120	21	2393	119	-120	21	2393	119	-120	21	2393	119	-120	21	2393	119	-120	21	2393
120	-17	17	2410	120	-17	17	2410	120	-17	17	2410	120	-17	17	2410	120	-17	17	2410	120	-17	17	2410
121	-17	17	2427	121	-17	17	2427	121	-17	17	2427	121	-17	17	2427	121	-17	17	2427	121	-17	17	2427
122	-22	22	2449	122	-22	22	2449	122	-22	22	2449	122	-22	22	2449	122	-22	22	2449	122	-22	22	2449
123	-24	24	2473	123	-24	24	2473	123	-24	24	2473	123	-24	24	2473	123	-24	24	2473	123	-24	24	2473
124	-19	19	2492	124	-19	19	2492	124	-19	19	2492	124	-19	19	2492	124	-19	19	2492	124	-19	19	2492
125	-20	20	2512	125	-20	20	2512	125	-20	20	2512	125	-20	20	2512	125	-20	20	2512	125	-20	20	2512
126	-223	25	2537	126	-223	25	2537	126	-223	25	2537	126	-223	25	2537	126	-223	25	2537	126	-223	25	2537
127	-17	17	2554	127	-17	17	2554	127	-17	17	2554	127	-17	17	2554	127	-17	17	2554	127	-17	17	2554
128	-21	21	2575	128	-21	21	2575	128	-21	21	2575	128	-21	21	2575	128	-21	21	2575	128	-21	21	2575
129	-20	20	2595	129	-20	20	2595	129	-20	20	2595	129	-20	20	2595	129	-20	20	2595	129	-20	20	2595
130	-19	19	2614	130	-19	19	2614	130	-19	19	2614	130	-19	19	2614	130	-19	19	2614	130	-19	19	2614
131	-17	17	2631	131	-17	17	2631	131	-17	17	2631	131	-17	17	2631	131	-17	17	2631	131	-17	17	2631
132	-17	17	2648	132	-17	17	2648	132	-17	17	2648	132	-17	17	2648	132	-17	17	2648	132	-17	17	2648
133	-17	17	2665	133	-17	17	2665	133	-17	17	2665	133	-17	17	2665	133	-17	17	2665	133	-17	17	2665
134	-21	21	2686	134	-21	21	2686	134	-21	21	2686	134	-21	21	2686	134	-21	21	2686	134	-21	21	2686
135	-17	17	2703	135	-17	17	2703	135	-17	17	2703	135	-17	17	2703	135	-17	17	2703	135	-17	17	2703
136	-17	17	2720	136	-17	17	2720	136	-17	17	2720	136	-17	17	2720	136	-17	17	2720	136	-17	17	2720
137	-20	20	2740	137	-20	20	2740	137	-20	20	2740	137	-20	20	2740	137	-20	20	2740	137	-20	20	2740
138	-19	19	2759	138	-19	19	2759	138	-19	19	2759	138	-19	19	2759	138	-19	19	2759	138	-19	19	2759
139	-17	17	2776	139	-17	17	2776	139	-17	17	2776	139	-17	17	2776	139	-17	17	2776	139	-17	17	2776
140	-23	23	2799	140	-23	23	2799	140	-23	23	2799	140	-23	23	2799	140	-23	23	2799	140	-23	23	2799
141	-19	19	2818	141	-19	19	2818	141	-19	19	2818	141	-19	19	2818	141	-19	19	2818	141	-19	19	2818
142	-23	23	2841	142	-23	23	2841	142	-23	23	2841	142	-23	23	2841	142	-23	23	2841	142	-23	23	2841
143	-17	17	2858	143	-17	17	2858	143	-17	17	2858	143	-17	17	2858	143	-17	17	2858	143	-17	17	2858
144	-17	17	2875	144	-17	17	2875	144	-17	17	2875	144	-17	17	2875	144	-17	17	2875	144	-17	17	2875
145	-17	17	2892	145	-17	17	2892	145	-17	17	2892	145	-17	17	2892	145	-17	17	2892	145	-17	17	2892
146	-25	25	2917	146	-25	25	2917	146	-25	25	2917	146	-25	25	2917	146	-25	25	2917	146	-25	25	2917
147	-17	17	2934	147	-17	17	2934	147	-17	17	2934	147	-17	17	2934	147	-17	17	2934	147	-17	17	2934
148	-21	21	2955	148	-21	21	2955	148	-21	21	2955	148	-21	21	2955	148	-21	21	2955	148	-21	21	2955
149	-17	17	2972	149	-17	17	2972	149	-17	17	2972	149	-17	17	2972	149	-17	17	2972	149	-17	17	2972
150	-19	19	2991	150	-19	19	2991	150	-19	19	2991	150	-19	19	2991	150	-19	19	2991	150	-19	19	2991
151	-17	17	3008	151	-17	17	3008	151	-17	17	3008	151	-17	17	3008	151	-17	17	3008	151	-17	17	3008
152	-19	19	3027	152	-19	19	3027	152	-19	19	3027	152	-19	19	3027	152	-19	19	3027	152	-19	19	3027
153	-19	19	3046	153	-19	19	3046	153	-19	19	3046	153	-19	19	3046	153	-19	19	3046	153	-19	19	3046
154	-17	17	3063	154	-17	17	3063	154	-17	17	3063	154	-17	17	3063	154	-17	17	3063	154	-17	17	3063
155	-20	20	3083	155	-20	20	3083	155	-20	20	3083	155	-20	20	3083	155	-20	20	3083	155	-20	20	3083
156	-20	20	3103	156	-20	20	3103	156	-20	20	3103	156	-20	20	3103	156	-20	20	3103	156	-20	20	3103
157	-17	17	3120	157	-17	17	3120	157	-17	17	3120	157	-17	17	3120	157	-17	17	3120	157	-17	17	3120
158	-24	24	3144	158	-24	24	3144	158	-24	24	3144	158	-24	24	3144	158	-24	24	3144	158	-24	24	3144
159	-19	19	3163	159	-19	19	3163	159	-19	19	3163	159	-19	19	3163	159	-19	19	3163	159	-19	19	3163
160	-18	18	3181	160	-18	18	3181	160	-18	18	3181	160	-18	18	3181	160	-18	18	3181	160	-18	18	3181
161	-25	25	3206	161	-25	25	3206	161	-25	25	3206	161	-25	25	3206	161	-25	25	3206	161	-25	25	3206
162	-25	25	3231	162	-25	25	3231	162	-25	25	3231	162	-25	25	3231	162	-25	25	3231	162	-25	25	3231
163	-19	19	3250	163	-19	19	3250	163	-19	19	3250	163	-19	19	3250	163	-19	19	3250	163	-19	19	3250
164	-17	17	3267	164	-17	17	3267	164	-17	17	3267	164	-17	17	3267	164	-17	17	3267	164	-17	17	3267
165	-18	18	3285	165	-18	18	3285	165	-18	18	3285	165	-18	18	3285	165	-18	18	3285	165	-18	18	3285
166	-54	54	3339	166	-54	54	3339	166	-54	54	3339	166	-54	54	3339	166	-54	54	3339	166	-54	54	3339
167	-18	18	3357	167	-18	18	3357	167	-18	18	3357	167	-18	18	3357	167	-18	18	3357	167	-18	18	3357
168	-21	21	3378	168	-21	21	3378	168	-21	21	3378	168	-21	21	3378	168	-21	21	3378	168	-21	21	3378
169	-20	20	3398	169	-20	20	3398	169	-20	20	3398	169	-20	20	3398	169	-20	20	3398	169	-20	20	3398
170	-17	17	3415	170	-17	17	3415	170	-17	17	3415	170	-17	17	3415	170	-17	17	3415	170	-17	17	3415
171	-24	24	3439	171	-24	24	3439	171	-24	24	3439	171	-24	24	3439	171	-24	24	3439	171	-24	24	3439
172	-23	23	3462	172	-23	23	3462	172	-23	23	3462	172	-23	23	3462	172	-23	23	3462	172	-23	23	3462
173	-19	19	3481	173	-19	19	3481	173	-19	19	3481	173	-19	19	3481	173	-19	19	3481	173	-19	19	3481
174	-18	18	3499	174	-18	18	3499	174	-18	18	3499	174	-18	18	3499	174	-18	18	3499	174	-18	18	3499
175	-17	17	3516	175	-17	17	3516	175	-17	17	3516	175	-17	17	3516	175	-17	17	3516	175	-17	17	3516
176	-18	18	3534	176	-18	18	3534	176	-18	18	3534	176	-18	18	3534	176	-18	18	3534	176	-18	18	3534
177	-19	19	3553	177	-19	19	3553	177	-19	19	3553	177	-19	19	3553	177	-19	19	3553	177	-19	19	3553
178	-19	19	3572	178	-19	19	3572	178	-19	19	3572	178	-19	19	3572	178	-19	19	3572	178	-19	19	3572
179	-18	18	3590	179	-18	18	3590	179	-18	18	3590	179	-18	18	3590	179	-18	18	3590	179	-18	18	3590
180	-19	19	3609	180	-19	19	3609	180	-19	19	3609	180	-19	19	3609	180	-19	19	3609	180	-19	19	3609
181	-21	21	3630	181	-21	21	3630	181	-21	21	3630	181	-21	21	3630	181	-21	21	3630	181	-21	21	3630
182	-17	17	3647	182	-17	17	3647	182	-17	17	3647	182	-17	17	3647	182	-17	17	3647	182	-17	17	3647
183	-19	19	3666	183	-19	19	3666	183	-19	19	3666	183	-19	19	3666	183	-19	19	3666	183	-19	19	3666
184	-20	20	3686	184	-20	20	3686	184	-20	20	3686	184	-20	20	3686	184	-20	20	3686	184	-20	20	3686
185	-17	17	3703	185	-17	17	3703	185	-17	17	3703	185	-17	17	3703	185	-17	17	3703	185	-17	17	3703
186	-17	17	3720	186	-17	17	3720	186	-17	17	3720	186	-17	17	3720	186	-17	17	3720	186	-17	17	3720
187	-19	19	3739	187	-19	19	3739	187	-19	19	3739	187	-19	19	3739	187	-19	19	3739	187	-19	19	3739
