Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
89	-21	21	8234	89	-21	21	8234	89	-21	21	8234	89	-21	21	8234	89	-21	21	8234
90	-25	25	8259	90	-25	25	8259	90	-25	25	8259	90	-25	25	8259	90	-25	25	8259
91	-145	46	8305	91	-145	46	8305	91	-145	46	8305	91	-145	46	8305	91	-145	46	8305
92	-33	33	8338	92	-33	33	8338	92	-33	33	8338	92	-33	33	8338	92	-33	33	8338
93	-126	27	8365	93	-126	27	8365	93	-126	27	8365	93	-126	27	8365	93	-126	27	8365
94	-148	49	8414	94	-148	49	8414	94	-148	49	8414	94	-148	49	8414	94	-148	49	8414
95	-73	73	8487	95	-73	73	8487	95	-73	73	8487	95	-73	73	8487	95	-73	73	8487
96	-225	126	8613	96	-225	126	8613	96	-225	126	8613	96	-225	126	8613	96	-225	126	8613
97	-2119	1030	9643	97	-2119	1030	9643	97	-2119	1030	9643	97	-2119	1030	9643	97	-2119	1030	9643
98	-623	326	9969	98	-623	326	9969	98	-623	326	9969	98	-623	326	9969	98	-623	326	9969
99	-118	118	10087	99	-118	118	10087	99	-118	118	10087	99	-118	118	10087	99	-118	118	10087
100	-98	98	10185	100	-98	98	10185	100	-98	98	10185	100	-98	98	10185	100	-98	98	10185
101	-17	17	10202	101	-17	17	10202	101	-17	17	10202	101	-17	17	10202	101	-17	17	10202
102	-17	17	10219	102	-17	17	10219	102	-17	17	10219	102	-17	17	10219	102	-17	17	10219
103	-17	17	10236	103	-17	17	10236	103	-17	17	10236	103	-17	17	10236	103	-17	17	10236
104	-18	18	10254	104	-18	18	10254	104	-18	18	10254	104	-18	18	10254	104	-18	18	10254
105	-22	22	10276	105	-22	22	10276	105	-22	22	10276	105	-22	22	10276	105	-22	22	10276
