Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314	37	-27	27	2314
38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331	38	-17	17	2331
39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357	39	-26	26	2357
40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387	40	-30	30	2387
41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404	41	-17	17	2404
42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418	42	-14	14	2418
43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442	43	-24	24	2442
44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459	44	-17	17	2459
45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476	45	-17	17	2476
46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506	46	-30	30	2506
