Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523	159	-119	20	4523
160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557	160	-133	34	4557
161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577	161	-119	20	4577
162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592	162	-15	15	4592
163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611	163	-19	19	4611
164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632	164	-120	21	4632
165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647	165	-15	15	4647
166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661	166	-14	14	4661
167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681	167	-119	20	4681
168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703	168	-121	22	4703
169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716	169	-13	13	4716
170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733	170	-17	17	4733
171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747	171	-14	14	4747
172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764	172	-17	17	4764
173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779	173	-15	15	4779
174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792	174	-13	13	4792
175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805	175	-13	13	4805
176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822	176	-17	17	4822
177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835	177	-13	13	4835
178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849	178	-14	14	4849
179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864	179	-15	15	4864
180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888	180	-123	24	4888
181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902	181	-14	14	4902
182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915	182	-13	13	4915
183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930	183	-15	15	4930
184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949	184	-118	19	4949
185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972	185	-122	23	4972
186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992	186	-218	20	4992
187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019	187	-126	27	5019
188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041	188	-220	22	5041
189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055	189	-14	14	5055
190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068	190	-13	13	5068
191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085	191	-17	17	5085
192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100	192	-15	15	5100
193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125	193	-124	25	5125
194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140	194	-15	15	5140
195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153	195	-13	13	5153
196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167	196	-14	14	5167
197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184	197	-17	17	5184
198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197	198	-13	13	5197
199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214	199	-17	17	5214
