Episode	Accumulated Reward	Length	Steps
1160	1.0	1	2088
1161	-1.0	3	2091
1162	1.0	1	2092
1163	-1.0	1	2093
1164	-1.0	1	2094
1165	0.0	2	2096
1166	-1.0	2	2098
1167	-1.0	3	2101
1168	-1.0	1	2102
1169	-1.0	1	2103
1170	-1.0	1	2104
1171	-1.0	1	2105
1172	-1.0	1	2106
1173	-1.0	2	2108
1174	-1.0	1	2109
1175	1.0	1	2110
1176	-1.0	1	2111
1177	1.0	1	2112
1178	-1.0	2	2114
1179	-1.0	2	2116
1180	-1.0	3	2119
1181	1.0	2	2121
1182	-1.0	1	2122
1183	1.0	2	2124
1184	-1.0	3	2127
1185	-1.0	1	2128
1186	-1.0	3	2131
1187	-1.0	4	2135
1188	-1.0	1	2136
1189	1.0	2	2138
1190	-1.0	3	2141
1191	-1.0	2	2143
1192	1.0	1	2144
1193	-1.0	2	2146
1194	1.0	1	2147
1195	-1.0	2	2149
1196	-1.0	2	2151
1197	1.0	2	2153
1198	1.0	2	2155
1199	-1.0	3	2158
1200	-1.0	2	2160
1201	0.0	2	2162
1202	1.0	2	2164
1203	-1.0	1	2165
1204	-1.0	1	2166
1205	-1.0	1	2167
1206	-1.0	1	2168
1207	1.0	2	2170
1208	1.0	2	2172
1209	-1.0	2	2174
1210	-1.0	1	2175
1211	-1.0	1	2176
1212	-1.0	1	2177
1213	-1.0	2	2179
1214	-1.0	1	2180
1215	1.0	4	2184
1216	1.0	2	2186
1217	-1.0	1	2187
1218	1.0	5	2192
1219	-1.0	1	2193
1220	1.0	3	2196
1221	-1.0	3	2199
1222	0.0	2	2201
1223	0.0	3	2204
