Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555	44	-19	19	2555
45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569	45	-14	14	2569
46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594	46	-25	25	2594
47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609	47	-15	15	2609
48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628	48	-118	19	2628
49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642	49	-14	14	2642
50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659	50	-17	17	2659
51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673	51	-14	14	2673
52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690	52	-17	17	2690
53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703	53	-13	13	2703
54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720	54	-17	17	2720
55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733	55	-13	13	2733
56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748	56	-15	15	2748
57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765	57	-17	17	2765
58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782	58	-17	17	2782
59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797	59	-15	15	2797
60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810	60	-13	13	2810
61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823	61	-13	13	2823
62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836	62	-13	13	2836
63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876	63	-139	40	2876
64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900	64	-123	24	2900
65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930	65	-327	30	2930
66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943	66	-13	13	2943
67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959	67	-16	16	2959
68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974	68	-15	15	2974
